Country,Value,Year,Region
Bahrain,3.2,2024,Asia
Nigeria,-0.33,2023,Africa
Nigeria,-0.25,2024,Africa
Ethiopia,2.13,2023,Africa
Ethiopia,2.78,2024,Africa
Egypt,0.67,2023,Africa
Egypt,0.48,2024,Africa
Democratic Republic of Congo,0.04,2023,Africa
Democratic Republic of Congo,0.04,2024,Africa
Tanzania,1.55,2023,Africa
Tanzania,2.29,2024,Africa
South Africa,1.31,2023,Africa
South Africa,1.02,2024,Africa
Kenya,3.81,2023,Africa
Kenya,4,2024,Africa
Uganda,3.63,2023,Africa
Uganda,2.56,2024,Africa
Algeria,1.28,2023,Africa
Algeria,1.91,2024,Africa
Sudan,2.85,2023,Africa
Sudan,1.96,2024,Africa
Morocco,2.02,2023,Africa
Morocco,1.02,2024,Africa
Angola,0.67,2023,Africa
Angola,0.65,2024,Africa
Ghana,1.85,2023,Africa
Ghana,2.21,2024,Africa
Mozambique,0.67,2023,Africa
Mozambique,0.86,2024,Africa
Madagascar,2.53,2023,Africa
Madagascar,1.87,2024,Africa
Cameroon,1.4,2023,Africa
Cameroon,1.34,2024,Africa
Ivory Coast,-0.39,2023,Africa
Ivory Coast,-0.54,2024,Africa
Niger,-0.75,2023,Africa
Niger,-0.65,2024,Africa
Burkina Faso,1.2,2023,Africa
Burkina Faso,1.58,2024,Africa
Mali,0.81,2023,Africa
Mali,0.99,2024,Africa
Malawi,3.4,2023,Africa
Malawi,1.71,2024,Africa
Zambia,-0.12,2023,Africa
Zambia,-0.08,2024,Africa
Senegal,0.4,2023,Africa
Senegal,0.49,2024,Africa
Somalia,0.72,2023,Africa
Somalia,0.82,2024,Africa
Chad,2.52,2023,Africa
Chad,2.85,2024,Africa
Zimbabwe,2.24,2023,Africa
Zimbabwe,2.11,2024,Africa
Guinea,2.16,2023,Africa
Guinea,2.97,2024,Africa
Rwanda,1.55,2023,Africa
Rwanda,1.61,2024,Africa
Benin,2.12,2023,Africa
Benin,2.18,2024,Africa
Tunisia,3.48,2023,Africa
Tunisia,1.75,2024,Africa
Burundi,3.44,2023,Africa
Burundi,4,2024,Africa
South Sudan,1.24,2023,Africa
South Sudan,0.68,2024,Africa
Togo,3.23,2023,Africa
Togo,3.61,2024,Africa
Sierra Leone,1.21,2023,Africa
Sierra Leone,1.19,2024,Africa
Libya,3.46,2023,Africa
Libya,2.43,2024,Africa
Liberia,2.13,2023,Africa
Liberia,2.22,2024,Africa
Central African Republic,1.92,2023,Africa
Central African Republic,1.72,2024,Africa
Mauritania,0.46,2023,Africa
Mauritania,0.32,2024,Africa
Eritrea,0.09,2023,Africa
Eritrea,0.12,2024,Africa
Gambia,3.68,2023,Africa
Gambia,3.49,2024,Africa
Botswana,3.51,2023,Africa
Botswana,4,2024,Africa
Namibia,2.68,2023,Africa
Namibia,2.49,2024,Africa
Gabon,2.64,2023,Africa
Gabon,2.2,2024,Africa
Lesotho,3.81,2023,Africa
Lesotho,2.98,2024,Africa
Guinea-Bissau,3.73,2023,Africa
Guinea-Bissau,4,2024,Africa
Equatorial Guinea,-0.65,2023,Africa
Equatorial Guinea,-0.44,2024,Africa
Mauritius,1.55,2023,Africa
Mauritius,1,2024,Africa
Eswatini,2.94,2023,Africa
Eswatini,3.83,2024,Africa
Djibouti,1.86,2023,Africa
Djibouti,1.33,2024,Africa
Comoros,0.09,2023,Africa
Comoros,0.06,2024,Africa
Cape Verde,1.01,2023,Africa
Cape Verde,0.74,2024,Africa
Seychelles,0.48,2023,Africa
Seychelles,0.49,2024,Africa
Australia,4,2023,Oceania
Australia,4,2024,Oceania
Papua New Guinea,0.62,2023,Oceania
Papua New Guinea,0.42,2024,Oceania
New Zealand,3.53,2023,Oceania
New Zealand,3.51,2024,Oceania
Fiji,-0.72,2023,Oceania
Fiji,-0.66,2024,Oceania
Solomon Islands,1.52,2023,Oceania
Solomon Islands,1.45,2024,Oceania
Vanuatu,0.23,2023,Oceania
Vanuatu,0.18,2024,Oceania
Samoa,0.65,2023,Oceania
Samoa,0.75,2024,Oceania
Micronesia,0.45,2023,Oceania
Micronesia,0.56,2024,Oceania
Tonga,2.39,2023,Oceania
Tonga,3.04,2024,Oceania
Kiribati,-0.56,2023,Oceania
Kiribati,-0.59,2024,Oceania
Palau,0.6,2023,Oceania
Palau,0.61,2024,Oceania
Marshall Islands,3.13,2023,Oceania
Marshall Islands,2.74,2024,Oceania
Tuvalu,0.41,2023,Oceania
Tuvalu,0.53,2024,Oceania
Nauru,3.19,2023,Oceania
Nauru,4,2024,Oceania
