Country,Country code,Quarter,Year,Category,Revenue
Indonesia,IDN,2014-Q4,2014,Non-Gaming,2463735.88
India,IND,2014-Q4,2014,Non-Gaming,2528974.73
Japan,JPN,2014-Q4,2014,Non-Gaming,178265695.4
South Korea,KOR,2014-Q4,2014,Non-Gaming,27592207.41
Mexico,MEX,2014-Q4,2014,Non-Gaming,7458267.41
U.S.,USA,2014-Q4,2014,Non-Gaming,295047201.9
Vietnam,VNM,2014-Q4,2014,Non-Gaming,961960.95
Australia,AUS,2015-Q1,2015,Non-Gaming,35110290.46
Brazil,BRA,2015-Q1,2015,Non-Gaming,19774560.43
Canada,CAN,2015-Q1,2015,Non-Gaming,26546261.76
Germany,DEU,2015-Q1,2015,Non-Gaming,40233844.41
France,FRA,2015-Q1,2015,Non-Gaming,29614395.56
U.K.,GBR,2015-Q1,2015,Non-Gaming,72317468.81
Indonesia,IDN,2015-Q1,2015,Non-Gaming,2890366.34
India,IND,2015-Q1,2015,Non-Gaming,2941340.71
South Korea,KOR,2015-Q1,2015,Non-Gaming,32448088.03
Mexico,MEX,2015-Q1,2015,Non-Gaming,9170699.23
U.S.,USA,2015-Q1,2015,Non-Gaming,339813421.2
Vietnam,VNM,2015-Q1,2015,Non-Gaming,1282330.14
Australia,AUS,2015-Q2,2015,Non-Gaming,35183013.16
Brazil,BRA,2015-Q2,2015,Non-Gaming,20594884.82
Canada,CAN,2015-Q2,2015,Non-Gaming,27048304.8
Germany,DEU,2015-Q2,2015,Non-Gaming,39393307.62
France,FRA,2015-Q2,2015,Non-Gaming,29970101.59
U.K.,GBR,2015-Q2,2015,Non-Gaming,73063568.9
Indonesia,IDN,2015-Q2,2015,Non-Gaming,3100052.83
India,IND,2015-Q2,2015,Non-Gaming,3665317.36
Japan,JPN,2015-Q2,2015,Non-Gaming,182908636.2
South Korea,KOR,2015-Q2,2015,Non-Gaming,31832129.4
Mexico,MEX,2015-Q2,2015,Non-Gaming,9712480.53
U.S.,USA,2015-Q2,2015,Non-Gaming,389610936.9
Vietnam,VNM,2015-Q2,2015,Non-Gaming,1247180.1
Australia,AUS,2015-Q3,2015,Non-Gaming,32115370.98
Brazil,BRA,2015-Q3,2015,Non-Gaming,18827575.44
Canada,CAN,2015-Q3,2015,Non-Gaming,26027070.53
Germany,DEU,2015-Q3,2015,Non-Gaming,39743408.71
U.K.,GBR,2015-Q3,2015,Non-Gaming,67781835.96
Indonesia,IDN,2015-Q3,2015,Non-Gaming,3061529.81
Japan,JPN,2015-Q3,2015,Non-Gaming,191334540.3
South Korea,KOR,2015-Q3,2015,Non-Gaming,34333713.16
Mexico,MEX,2015-Q3,2015,Non-Gaming,9707576.71
U.S.,USA,2015-Q3,2015,Non-Gaming,380692729.9
Vietnam,VNM,2015-Q3,2015,Non-Gaming,886035.51
Australia,AUS,2015-Q4,2015,Non-Gaming,34186276.77
Brazil,BRA,2015-Q4,2015,Non-Gaming,17484322.15
Canada,CAN,2015-Q4,2015,Non-Gaming,28083331.39
Germany,DEU,2015-Q4,2015,Non-Gaming,39114179.99
France,FRA,2015-Q4,2015,Non-Gaming,32193118.38
U.K.,GBR,2015-Q4,2015,Non-Gaming,71713025.93
Indonesia,IDN,2015-Q4,2015,Non-Gaming,3852522.54
India,IND,2015-Q4,2015,Non-Gaming,4255449.88
South Korea,KOR,2015-Q4,2015,Non-Gaming,36919130.55
U.S.,USA,2015-Q4,2015,Non-Gaming,416871095.8
Vietnam,VNM,2015-Q4,2015,Non-Gaming,877162.15
Australia,AUS,2016-Q1,2016,Non-Gaming,38672430.86
Germany,DEU,2016-Q1,2016,Non-Gaming,43486079.85
France,FRA,2016-Q1,2016,Non-Gaming,37080461.34
U.K.,GBR,2016-Q1,2016,Non-Gaming,78107091.86
Japan,JPN,2016-Q1,2016,Non-Gaming,204150988
South Korea,KOR,2016-Q1,2016,Non-Gaming,40589940.23
Mexico,MEX,2016-Q1,2016,Non-Gaming,12093336.16
U.S.,USA,2016-Q1,2016,Non-Gaming,508785019.3
Vietnam,VNM,2016-Q1,2016,Non-Gaming,879866.38
Australia,AUS,2016-Q2,2016,Non-Gaming,43417923.66
Canada,CAN,2016-Q2,2016,Non-Gaming,35899423.02
Germany,DEU,2016-Q2,2016,Non-Gaming,44270067.14
France,FRA,2016-Q2,2016,Non-Gaming,37259616.48
U.K.,GBR,2016-Q2,2016,Non-Gaming,83185881.96
Indonesia,IDN,2016-Q2,2016,Non-Gaming,5447515.67
India,IND,2016-Q2,2016,Non-Gaming,6821458.63
Japan,JPN,2016-Q2,2016,Non-Gaming,229205170.1
South Korea,KOR,2016-Q2,2016,Non-Gaming,51632693.49
Mexico,MEX,2016-Q2,2016,Non-Gaming,13451840.34
U.S.,USA,2016-Q2,2016,Non-Gaming,584934882.9
Australia,AUS,2016-Q3,2016,Non-Gaming,45672946.74
Germany,DEU,2016-Q3,2016,Non-Gaming,46394936.71
U.K.,GBR,2016-Q3,2016,Non-Gaming,80312355.25
South Korea,KOR,2016-Q3,2016,Non-Gaming,65292723.36
Mexico,MEX,2016-Q3,2016,Non-Gaming,13668186.28
U.S.,USA,2016-Q3,2016,Non-Gaming,609639948.7
Vietnam,VNM,2016-Q3,2016,Non-Gaming,1308950.32
Germany,DEU,2017-Q4,2017,Non-Gaming,70708331.22
Australia,AUS,2018-Q1,2018,Non-Gaming,83366970.85
Australia,AUS,2018-Q2,2018,Non-Gaming,85614032.69
U.K.,GBR,2018-Q2,2018,Non-Gaming,154662067.8
U.S.,USA,2018-Q4,2018,Non-Gaming,1698118656
U.K.,GBR,2019-Q2,2019,Non-Gaming,202808696.5
U.S.,USA,2019-Q2,2019,Non-Gaming,1942548393
Australia,AUS,2019-Q3,2019,Non-Gaming,112238534.7
Japan,JPN,2015-Q1,2015,Non-Gaming,172504716.6
France,FRA,2015-Q3,2015,Non-Gaming,31604277.78
India,IND,2015-Q3,2015,Non-Gaming,3839975.37
Japan,JPN,2015-Q4,2015,Non-Gaming,197243278.8
Mexico,MEX,2015-Q4,2015,Non-Gaming,10666922.82
Brazil,BRA,2016-Q1,2016,Non-Gaming,19475415.27
Canada,CAN,2016-Q1,2016,Non-Gaming,31282808.83
Indonesia,IDN,2016-Q1,2016,Non-Gaming,4297215.4
India,IND,2016-Q1,2016,Non-Gaming,5304482.81
Brazil,BRA,2016-Q2,2016,Non-Gaming,22234065.64
Vietnam,VNM,2016-Q2,2016,Non-Gaming,1149641.2
Brazil,BRA,2016-Q3,2016,Non-Gaming,23191914.07
Canada,CAN,2016-Q3,2016,Non-Gaming,38740739.64
France,FRA,2016-Q3,2016,Non-Gaming,40980125.73
Indonesia,IDN,2016-Q3,2016,Non-Gaming,8289544.04
India,IND,2016-Q3,2016,Non-Gaming,8412145.84
Japan,JPN,2016-Q3,2016,Non-Gaming,254513270
Australia,AUS,2016-Q4,2016,Non-Gaming,47430524.71
Brazil,BRA,2016-Q4,2016,Non-Gaming,23536742.69
Canada,CAN,2016-Q4,2016,Non-Gaming,39626658.17
Germany,DEU,2016-Q4,2016,Non-Gaming,44437540.34
France,FRA,2016-Q4,2016,Non-Gaming,40485562.63
U.K.,GBR,2016-Q4,2016,Non-Gaming,75147779.24
Indonesia,IDN,2016-Q4,2016,Non-Gaming,11005574.25
India,IND,2016-Q4,2016,Non-Gaming,9936026.5
Japan,JPN,2016-Q4,2016,Non-Gaming,260658384.9
South Korea,KOR,2016-Q4,2016,Non-Gaming,68924847.46
Mexico,MEX,2016-Q4,2016,Non-Gaming,15489452.62
U.S.,USA,2016-Q4,2016,Non-Gaming,624011962.1
Vietnam,VNM,2016-Q4,2016,Non-Gaming,1382263.67
Australia,AUS,2017-Q1,2017,Non-Gaming,52271232.1
Brazil,BRA,2017-Q1,2017,Non-Gaming,29337739.89
Canada,CAN,2017-Q1,2017,Non-Gaming,43524853.28
Germany,DEU,2017-Q1,2017,Non-Gaming,49882609.72
France,FRA,2017-Q1,2017,Non-Gaming,43957026.32
U.K.,GBR,2017-Q1,2017,Non-Gaming,80456669.98
Indonesia,IDN,2017-Q1,2017,Non-Gaming,17736746.26
India,IND,2017-Q1,2017,Non-Gaming,13539456.85
Japan,JPN,2017-Q1,2017,Non-Gaming,282640917.2
South Korea,KOR,2017-Q1,2017,Non-Gaming,73094972.7
Mexico,MEX,2017-Q1,2017,Non-Gaming,17012426.27
U.S.,USA,2017-Q1,2017,Non-Gaming,737874946
Vietnam,VNM,2017-Q1,2017,Non-Gaming,1806616.6
Australia,AUS,2017-Q2,2017,Non-Gaming,53248315.19
Brazil,BRA,2017-Q2,2017,Non-Gaming,33285862.95
Canada,CAN,2017-Q2,2017,Non-Gaming,46371156.91
Germany,DEU,2017-Q2,2017,Non-Gaming,53353581.62
France,FRA,2017-Q2,2017,Non-Gaming,46829163.52
U.K.,GBR,2017-Q2,2017,Non-Gaming,88226712.91
Indonesia,IDN,2017-Q2,2017,Non-Gaming,12100910.01
India,IND,2017-Q2,2017,Non-Gaming,16412430.02
Japan,JPN,2017-Q2,2017,Non-Gaming,286291299
South Korea,KOR,2017-Q2,2017,Non-Gaming,82522682.93
Mexico,MEX,2017-Q2,2017,Non-Gaming,19635367.48
U.S.,USA,2017-Q2,2017,Non-Gaming,819055929.7
Vietnam,VNM,2017-Q2,2017,Non-Gaming,2350714.2
Australia,AUS,2017-Q3,2017,Non-Gaming,62103126.45
Brazil,BRA,2017-Q3,2017,Non-Gaming,37900168.09
Canada,CAN,2017-Q3,2017,Non-Gaming,58683325.74
Germany,DEU,2017-Q3,2017,Non-Gaming,64958478.65
France,FRA,2017-Q3,2017,Non-Gaming,58149549.81
U.K.,GBR,2017-Q3,2017,Non-Gaming,104661947.5
Indonesia,IDN,2017-Q3,2017,Non-Gaming,11032875.49
India,IND,2017-Q3,2017,Non-Gaming,18453163.84
Japan,JPN,2017-Q3,2017,Non-Gaming,322963239.4
South Korea,KOR,2017-Q3,2017,Non-Gaming,82543869.28
Mexico,MEX,2017-Q3,2017,Non-Gaming,24962874.98
U.S.,USA,2017-Q3,2017,Non-Gaming,1026274302
Vietnam,VNM,2017-Q3,2017,Non-Gaming,2560270.42
Australia,AUS,2017-Q4,2017,Non-Gaming,67968036.34
Brazil,BRA,2017-Q4,2017,Non-Gaming,42429609.27
Canada,CAN,2017-Q4,2017,Non-Gaming,64984731.96
France,FRA,2017-Q4,2017,Non-Gaming,66016002.75
U.K.,GBR,2017-Q4,2017,Non-Gaming,119830514.8
Indonesia,IDN,2017-Q4,2017,Non-Gaming,11105266.5
India,IND,2017-Q4,2017,Non-Gaming,22407015.88
Japan,JPN,2017-Q4,2017,Non-Gaming,335553931.3
South Korea,KOR,2017-Q4,2017,Non-Gaming,88749138.41
Mexico,MEX,2017-Q4,2017,Non-Gaming,25120101.94
U.S.,USA,2017-Q4,2017,Non-Gaming,1145951360
Vietnam,VNM,2017-Q4,2017,Non-Gaming,3528793.13
Brazil,BRA,2018-Q1,2018,Non-Gaming,52746614.46
Canada,CAN,2018-Q1,2018,Non-Gaming,75843087.9
Germany,DEU,2018-Q1,2018,Non-Gaming,85632070.68
France,FRA,2018-Q1,2018,Non-Gaming,82223504.03
U.K.,GBR,2018-Q1,2018,Non-Gaming,148200701.5
Indonesia,IDN,2018-Q1,2018,Non-Gaming,13092129.77
India,IND,2018-Q1,2018,Non-Gaming,27652092.8
Japan,JPN,2018-Q1,2018,Non-Gaming,371098035.7
South Korea,KOR,2018-Q1,2018,Non-Gaming,103091764.8
Mexico,MEX,2018-Q1,2018,Non-Gaming,30815563.13
U.S.,USA,2018-Q1,2018,Non-Gaming,1335101024
Vietnam,VNM,2018-Q1,2018,Non-Gaming,4391870.17
Brazil,BRA,2018-Q2,2018,Non-Gaming,60318429.41
Canada,CAN,2018-Q2,2018,Non-Gaming,79995698.74
Germany,DEU,2018-Q2,2018,Non-Gaming,90926259.55
France,FRA,2018-Q2,2018,Non-Gaming,84970127.49
Indonesia,IDN,2018-Q2,2018,Non-Gaming,13340200.66
India,IND,2018-Q2,2018,Non-Gaming,32114202.56
Japan,JPN,2018-Q2,2018,Non-Gaming,432648019.8
South Korea,KOR,2018-Q2,2018,Non-Gaming,112541239.3
Mexico,MEX,2018-Q2,2018,Non-Gaming,33434510.23
U.S.,USA,2018-Q2,2018,Non-Gaming,1489775948
Vietnam,VNM,2018-Q2,2018,Non-Gaming,5103832.92
Australia,AUS,2018-Q3,2018,Non-Gaming,90873188.79
Brazil,BRA,2018-Q3,2018,Non-Gaming,65267268.95
Canada,CAN,2018-Q3,2018,Non-Gaming,90376501.98
Germany,DEU,2018-Q3,2018,Non-Gaming,99936139.2
France,FRA,2018-Q3,2018,Non-Gaming,93922329.9
U.K.,GBR,2018-Q3,2018,Non-Gaming,167264538.5
Indonesia,IDN,2018-Q3,2018,Non-Gaming,13745892.13
India,IND,2018-Q3,2018,Non-Gaming,34291560.85
Japan,JPN,2018-Q3,2018,Non-Gaming,488520198.1
South Korea,KOR,2018-Q3,2018,Non-Gaming,121249705.8
Mexico,MEX,2018-Q3,2018,Non-Gaming,37043579.4
U.S.,USA,2018-Q3,2018,Non-Gaming,1613195381
Vietnam,VNM,2018-Q3,2018,Non-Gaming,6200248.32
Australia,AUS,2018-Q4,2018,Non-Gaming,96215323.56
Brazil,BRA,2018-Q4,2018,Non-Gaming,69644533.48
Canada,CAN,2018-Q4,2018,Non-Gaming,94036119.29
Germany,DEU,2018-Q4,2018,Non-Gaming,104288952
France,FRA,2018-Q4,2018,Non-Gaming,94045515.64
U.K.,GBR,2018-Q4,2018,Non-Gaming,174677189.7
Indonesia,IDN,2018-Q4,2018,Non-Gaming,14463374.58
India,IND,2018-Q4,2018,Non-Gaming,36641771.32
Japan,JPN,2018-Q4,2018,Non-Gaming,543976853
South Korea,KOR,2018-Q4,2018,Non-Gaming,107558605.6
Mexico,MEX,2018-Q4,2018,Non-Gaming,36571504.67
Vietnam,VNM,2018-Q4,2018,Non-Gaming,6746956.44
Australia,AUS,2019-Q1,2019,Non-Gaming,107405354
Brazil,BRA,2019-Q1,2019,Non-Gaming,75595163.55
Canada,CAN,2019-Q1,2019,Non-Gaming,102161790.1
Germany,DEU,2019-Q1,2019,Non-Gaming,114439166.8
France,FRA,2019-Q1,2019,Non-Gaming,101449386.1
U.K.,GBR,2019-Q1,2019,Non-Gaming,190064093.3
Indonesia,IDN,2019-Q1,2019,Non-Gaming,17405453.46
India,IND,2019-Q1,2019,Non-Gaming,39385897.81
Japan,JPN,2019-Q1,2019,Non-Gaming,562999987.6
South Korea,KOR,2019-Q1,2019,Non-Gaming,106475048.2
Mexico,MEX,2019-Q1,2019,Non-Gaming,39183432.13
U.S.,USA,2019-Q1,2019,Non-Gaming,1866955162
Vietnam,VNM,2019-Q1,2019,Non-Gaming,7921776.56
Australia,AUS,2019-Q2,2019,Non-Gaming,106921239.4
Brazil,BRA,2019-Q2,2019,Non-Gaming,89416873.28
Canada,CAN,2019-Q2,2019,Non-Gaming,106450821.2
Germany,DEU,2019-Q2,2019,Non-Gaming,116458447.6
France,FRA,2019-Q2,2019,Non-Gaming,105169756
Indonesia,IDN,2019-Q2,2019,Non-Gaming,20152599.38
India,IND,2019-Q2,2019,Non-Gaming,44473738.6
Japan,JPN,2019-Q2,2019,Non-Gaming,613898335.9
South Korea,KOR,2019-Q2,2019,Non-Gaming,105131318.7
Mexico,MEX,2019-Q2,2019,Non-Gaming,44574746.83
Vietnam,VNM,2019-Q2,2019,Non-Gaming,9717622.16
Brazil,BRA,2019-Q3,2019,Non-Gaming,98832821.48
Canada,CAN,2019-Q3,2019,Non-Gaming,124968231.9
Germany,DEU,2019-Q3,2019,Non-Gaming,124445437.5
France,FRA,2019-Q3,2019,Non-Gaming,116285261
U.K.,GBR,2019-Q3,2019,Non-Gaming,212342783.3
Indonesia,IDN,2019-Q3,2019,Non-Gaming,23986956.26
India,IND,2019-Q3,2019,Non-Gaming,52563189.16
Japan,JPN,2019-Q3,2019,Non-Gaming,690851036.5
South Korea,KOR,2019-Q3,2019,Non-Gaming,118031904.2
Mexico,MEX,2019-Q3,2019,Non-Gaming,46512553.67
U.S.,USA,2019-Q3,2019,Non-Gaming,2062354761
Vietnam,VNM,2019-Q3,2019,Non-Gaming,11240468.25
Australia,AUS,2019-Q4,2019,Non-Gaming,125561645.8
Brazil,BRA,2019-Q4,2019,Non-Gaming,101706968.4
Canada,CAN,2019-Q4,2019,Non-Gaming,138742821.2
Germany,DEU,2019-Q4,2019,Non-Gaming,137989972.7
France,FRA,2019-Q4,2019,Non-Gaming,125889217.2
U.K.,GBR,2019-Q4,2019,Non-Gaming,237235014.4
Indonesia,IDN,2019-Q4,2019,Non-Gaming,28689859.97
India,IND,2019-Q4,2019,Non-Gaming,56270449.52
Japan,JPN,2019-Q4,2019,Non-Gaming,722047918
South Korea,KOR,2019-Q4,2019,Non-Gaming,129037842.1
Mexico,MEX,2019-Q4,2019,Non-Gaming,45769163.72
U.S.,USA,2019-Q4,2019,Non-Gaming,2074025205
Vietnam,VNM,2019-Q4,2019,Non-Gaming,11085000.13
Australia,AUS,2020-Q1,2020,Non-Gaming,130476811.2
Brazil,BRA,2020-Q1,2020,Non-Gaming,99910764.49
Canada,CAN,2020-Q1,2020,Non-Gaming,150800735
Germany,DEU,2020-Q1,2020,Non-Gaming,148010237.8
France,FRA,2020-Q1,2020,Non-Gaming,132794783.8
U.K.,GBR,2020-Q1,2020,Non-Gaming,246218367.3
Indonesia,IDN,2020-Q1,2020,Non-Gaming,32198430.39
India,IND,2020-Q1,2020,Non-Gaming,58016919.08
Japan,JPN,2020-Q1,2020,Non-Gaming,752505338.1
South Korea,KOR,2020-Q1,2020,Non-Gaming,137406383
Mexico,MEX,2020-Q1,2020,Non-Gaming,49332555.92
U.S.,USA,2020-Q1,2020,Non-Gaming,2237131217
Vietnam,VNM,2020-Q1,2020,Non-Gaming,13120471.65
Australia,AUS,2020-Q2,2020,Non-Gaming,138984634.2
Brazil,BRA,2020-Q2,2020,Non-Gaming,87744484.42
Canada,CAN,2020-Q2,2020,Non-Gaming,172884440
Germany,DEU,2020-Q2,2020,Non-Gaming,169959506.9
France,FRA,2020-Q2,2020,Non-Gaming,148799825.3
U.K.,GBR,2020-Q2,2020,Non-Gaming,293750860.8
Indonesia,IDN,2020-Q2,2020,Non-Gaming,31749547.62
India,IND,2020-Q2,2020,Non-Gaming,74715759.93
Japan,JPN,2020-Q2,2020,Non-Gaming,932318521
South Korea,KOR,2020-Q2,2020,Non-Gaming,141702677
Mexico,MEX,2020-Q2,2020,Non-Gaming,47205567.99
U.S.,USA,2020-Q2,2020,Non-Gaming,2552716789
Vietnam,VNM,2020-Q2,2020,Non-Gaming,14481825.05
Australia,AUS,2020-Q3,2020,Non-Gaming,177715228.8
Brazil,BRA,2020-Q3,2020,Non-Gaming,98019081.31
Canada,CAN,2020-Q3,2020,Non-Gaming,191771212.3
Germany,DEU,2020-Q3,2020,Non-Gaming,196974324.7
France,FRA,2020-Q3,2020,Non-Gaming,160637185
U.K.,GBR,2020-Q3,2020,Non-Gaming,314505729.5
Indonesia,IDN,2020-Q3,2020,Non-Gaming,33843807.23
India,IND,2020-Q3,2020,Non-Gaming,74599431
Japan,JPN,2020-Q3,2020,Non-Gaming,1086737973
South Korea,KOR,2020-Q3,2020,Non-Gaming,165674000.7
Mexico,MEX,2020-Q3,2020,Non-Gaming,48651535.08
U.S.,USA,2020-Q3,2020,Non-Gaming,2869708064
Vietnam,VNM,2020-Q3,2020,Non-Gaming,15946352.25
Australia,AUS,2020-Q4,2020,Non-Gaming,185214118.8
Brazil,BRA,2020-Q4,2020,Non-Gaming,93255757.83
Canada,CAN,2020-Q4,2020,Non-Gaming,206751892.4
Germany,DEU,2020-Q4,2020,Non-Gaming,219660925.2
France,FRA,2020-Q4,2020,Non-Gaming,171466652.6
U.K.,GBR,2020-Q4,2020,Non-Gaming,327521654.2
Indonesia,IDN,2020-Q4,2020,Non-Gaming,36606395.99
India,IND,2020-Q4,2020,Non-Gaming,69564662.64
Japan,JPN,2020-Q4,2020,Non-Gaming,1083941507
South Korea,KOR,2020-Q4,2020,Non-Gaming,190358251.2
Mexico,MEX,2020-Q4,2020,Non-Gaming,52215868.36
U.S.,USA,2020-Q4,2020,Non-Gaming,2970671156
Vietnam,VNM,2020-Q4,2020,Non-Gaming,17009769.15
Australia,AUS,2021-Q1,2021,Non-Gaming,226165051.5
Brazil,BRA,2021-Q1,2021,Non-Gaming,101810027.3
Canada,CAN,2021-Q1,2021,Non-Gaming,237964540.6
Germany,DEU,2021-Q1,2021,Non-Gaming,247371578.1
France,FRA,2021-Q1,2021,Non-Gaming,181041969.8
U.K.,GBR,2021-Q1,2021,Non-Gaming,385399717.4
Indonesia,IDN,2021-Q1,2021,Non-Gaming,40690824.87
India,IND,2021-Q1,2021,Non-Gaming,67136141.46
Japan,JPN,2021-Q1,2021,Non-Gaming,1169752332
South Korea,KOR,2021-Q1,2021,Non-Gaming,196443168.6
Mexico,MEX,2021-Q1,2021,Non-Gaming,64504015.8
U.S.,USA,2021-Q1,2021,Non-Gaming,3317694745
Vietnam,VNM,2021-Q1,2021,Non-Gaming,21086295.03
Australia,AUS,2021-Q2,2021,Non-Gaming,231255559.4
Brazil,BRA,2021-Q2,2021,Non-Gaming,107963667.8
Canada,CAN,2021-Q2,2021,Non-Gaming,262156913.6
Germany,DEU,2021-Q2,2021,Non-Gaming,251467664.3
France,FRA,2021-Q2,2021,Non-Gaming,200807543.5
U.K.,GBR,2021-Q2,2021,Non-Gaming,404218451.1
Indonesia,IDN,2021-Q2,2021,Non-Gaming,44368315.5
India,IND,2021-Q2,2021,Non-Gaming,70017328.18
Japan,JPN,2021-Q2,2021,Non-Gaming,1216934746
South Korea,KOR,2021-Q2,2021,Non-Gaming,199171204.1
Mexico,MEX,2021-Q2,2021,Non-Gaming,64005249.01
U.S.,USA,2021-Q2,2021,Non-Gaming,3687854200
Vietnam,VNM,2021-Q2,2021,Non-Gaming,23109610.29
Australia,AUS,2021-Q3,2021,Non-Gaming,250610402.4
Brazil,BRA,2021-Q3,2021,Non-Gaming,124420415.8
Canada,CAN,2021-Q3,2021,Non-Gaming,267132414.2
Germany,DEU,2021-Q3,2021,Non-Gaming,262400171.6
France,FRA,2021-Q3,2021,Non-Gaming,213166081.9
U.K.,GBR,2021-Q3,2021,Non-Gaming,416138989.8
Indonesia,IDN,2021-Q3,2021,Non-Gaming,47576907.34
India,IND,2021-Q3,2021,Non-Gaming,67677437.78
Japan,JPN,2021-Q3,2021,Non-Gaming,1308499333
South Korea,KOR,2021-Q3,2021,Non-Gaming,209102932.4
Mexico,MEX,2021-Q3,2021,Non-Gaming,72648243.31
U.S.,USA,2021-Q3,2021,Non-Gaming,4008674978
Vietnam,VNM,2021-Q3,2021,Non-Gaming,29296975.23
Australia,AUS,2021-Q4,2021,Non-Gaming,269174073.9
Brazil,BRA,2021-Q4,2021,Non-Gaming,132937157.5
Canada,CAN,2021-Q4,2021,Non-Gaming,280326853.6
Germany,DEU,2021-Q4,2021,Non-Gaming,283587758.8
France,FRA,2021-Q4,2021,Non-Gaming,216904823.4
U.K.,GBR,2021-Q4,2021,Non-Gaming,424537907.9
Indonesia,IDN,2021-Q4,2021,Non-Gaming,50605172.58
India,IND,2021-Q4,2021,Non-Gaming,59021204.61
Japan,JPN,2021-Q4,2021,Non-Gaming,1281366357
South Korea,KOR,2021-Q4,2021,Non-Gaming,212897194.7
Mexico,MEX,2021-Q4,2021,Non-Gaming,73852511.47
U.S.,USA,2021-Q4,2021,Non-Gaming,4214529695
Vietnam,VNM,2021-Q4,2021,Non-Gaming,31400822.5
Australia,AUS,2022-Q1,2022,Non-Gaming,275964168.9
Brazil,BRA,2022-Q1,2022,Non-Gaming,158267748.1
Canada,CAN,2022-Q1,2022,Non-Gaming,301010853.9
Germany,DEU,2022-Q1,2022,Non-Gaming,307513076.5
France,FRA,2022-Q1,2022,Non-Gaming,234438548.5
U.K.,GBR,2022-Q1,2022,Non-Gaming,458874708.2
Indonesia,IDN,2022-Q1,2022,Non-Gaming,53228591.25
India,IND,2022-Q1,2022,Non-Gaming,62408097.04
Japan,JPN,2022-Q1,2022,Non-Gaming,1264761153
South Korea,KOR,2022-Q1,2022,Non-Gaming,219678689.4
Mexico,MEX,2022-Q1,2022,Non-Gaming,80826076.57
U.S.,USA,2022-Q1,2022,Non-Gaming,4426148178
Vietnam,VNM,2022-Q1,2022,Non-Gaming,28377847.76
Australia,AUS,2022-Q2,2022,Non-Gaming,270166189.9
Brazil,BRA,2022-Q2,2022,Non-Gaming,186902976.6
Canada,CAN,2022-Q2,2022,Non-Gaming,298398244.2
Germany,DEU,2022-Q2,2022,Non-Gaming,308862332.2
France,FRA,2022-Q2,2022,Non-Gaming,230461127.2
U.K.,GBR,2022-Q2,2022,Non-Gaming,430385751.1
