Country,Country code,Genre,Apps used in the past 30 days,Ad opportunity every 24h,Top Ad Opportunity #1,Top Ad Opportunity #2,Top Ad Opportunity #3
法国,FRA,真金游戏,16,18,游戏,社交媒体,健康与健身
法国,FRA,电子商务,14,18,游戏,健康与健身,实用与效率
法国,FRA,按需服务,16,25,健康与健身,游戏,社交媒体
法国,FRA,旅游,18,14,社交媒体,实用与效率,健康与健身
法国,FRA,金融,27,21,社交媒体,金融,健康与健身
法国,FRA,娱乐,32,25,社交媒体,实用与效率,游戏
法国,FRA,社交,17,14,社交媒体,实用与效率,健康与健身
英国,GBR,真金游戏,15,24,游戏,健康与健身,生活方式
英国,GBR,电子商务,11,22,游戏,健康与健身,实用与效率
英国,GBR,按需服务,10,16,健康与健身,游戏,社交媒体
英国,GBR,旅游,15,12,健康与健身,游戏,实用与效率
英国,GBR,金融,26,31,社交媒体,金融,健康与健身
英国,GBR,娱乐,30,32,社交媒体,游戏,健康与健身
英国,GBR,社交,14,11,社交媒体,实用与效率,健康与健身
印度尼西亚,IDN,真金游戏,17,12,社交媒体,金融,生活方式
印度尼西亚,IDN,电子商务,55,8,实用与效率,游戏,社交媒体
印度尼西亚,IDN,按需服务,36,11,金融,社交媒体,健康与健身
印度尼西亚,IDN,旅游,52,10,游戏,实用与效率,社交媒体
印度尼西亚,IDN,金融,60,10,游戏,实用与效率,社交媒体
印度尼西亚,IDN,娱乐,62,15,实用与效率,游戏,社交媒体
印度尼西亚,IDN,社交,52,10,社交媒体,实用与效率,游戏
印度,IND,真金游戏,54,14,社交媒体,实用与效率,金融
印度,IND,电子商务,31,10,实用与效率,社交媒体,游戏
印度,IND,按需服务,28,11,社交媒体,实用与效率,游戏
印度,IND,旅游,23,9,社交媒体,实用与效率,游戏
印度,IND,金融,19,15,实用与效率,社交媒体,游戏
印度,IND,娱乐,35,11,社交媒体,实用与效率,游戏
印度,IND,社交,47,13,社交媒体,实用与效率,游戏
日本,JPN,真金游戏,23,12,社交媒体,健康与健身,图书与工具书
日本,JPN,电子商务,21,37,游戏,健康与健身,实用与效率
日本,JPN,按需服务,23,40,游戏,健康与健身,实用与效率
日本,JPN,旅游,19,19,健康与健身,金融,生活方式
日本,JPN,金融,30,28,游戏,健康与健身,实用与效率
日本,JPN,娱乐,40,56,游戏,健康与健身,社交媒体
日本,JPN,社交,34,50,社交媒体,游戏,健康与健身
韩国,KOR,真金游戏,89,20,社交媒体,金融,教育
韩国,KOR,电子商务,83,22,游戏,健康与健身,实用与效率
韩国,KOR,按需服务,75,20,游戏,健康与健身,实用与效率
韩国,KOR,旅游,83,22,游戏,健康与健身,实用与效率
韩国,KOR,金融,96,25,游戏,健康与健身,实用与效率
韩国,KOR,娱乐,108,27,游戏,健康与健身,实用与效率
韩国,KOR,社交,108,23,社交媒体,健康与健身,实用与效率
墨西哥,MEX,真金游戏,13,13,生活方式,实用与效率,社交媒体
墨西哥,MEX,电子商务,16,11,游戏,健康与健身,实用与效率
墨西哥,MEX,按需服务,8,10,健康与健身,游戏,生活方式
墨西哥,MEX,旅游,9,7,游戏,实用与效率,健康与健身
墨西哥,MEX,金融,34,20,实用与效率,健康与健身,游戏
墨西哥,MEX,娱乐,34,19,实用与效率,游戏,社交媒体
墨西哥,MEX,社交,25,18,社交媒体,实用与效率,健康与健身
美国,USA,真金游戏,28,18,游戏,健康与健身,实用与效率
美国,USA,电子商务,21,13,游戏,健康与健身,新闻与杂志
美国,USA,按需服务,41,25,游戏,健康与健身,新闻与杂志
美国,USA,旅游,36,28,游戏,实用与效率,健康与健身
美国,USA,金融,45,32,游戏,健康与健身,实用与效率
美国,USA,娱乐,80,54,社交媒体,游戏,实用与效率
美国,USA,社交,20,28,社交媒体,实用与效率,游戏
越南,VNM,真金游戏,15,6,社交媒体,游戏,健康与健身
越南,VNM,电子商务,18,9,健康与健身,生活方式,金融
越南,VNM,按需服务,23,9,金融,健康与健身,社交媒体
越南,VNM,旅游,27,9,健康与健身,游戏,实用与效率
越南,VNM,金融,33,10,游戏,实用与效率,健康与健身
越南,VNM,娱乐,38,12,游戏,社交媒体,实用与效率
越南,VNM,社交,34,10,社交媒体,游戏,实用与效率
